Nível Hierárquico,Denominação Unidade,Código Unidade,Sigla Unidade,Data_Atualizacao,Subordinados_Diretos_Aprox
1,Ministério da Gestão e da Inovação em Serviços Públicos,308803,MGI,2025-12-04,14
3,Coordenação-Geral de Temas Econômicos e Comerciais Internacionais,374689,CGTEC,2025-12-04,0
3,Coordenação de Gestão da Integridade,313374,COINT,2025-12-04,0
3,Coordenação-Geral de Acompanhamento e Controle,313372,CGAC,2025-12-04,0
2,Consultoria Jurídica,308908,CONJUR,2025-12-04,0
2,Gabinete Ministerial,308906,GM,2025-12-04,1
3,Cerimonial,313295,CERIM,2025-12-04,0
2,Ouvidoria,308909,OUV,2025-12-04,0
2,Secretaria-Executiva,308907,SE,2025-12-04,1
3,Gabinete,309448,GABIN-SE,2025-12-04,0
2,Arquivo Nacional,334,AN,2025-12-04,7
4,Divisão Centro de Referência Memórias Reveladas,489229,DICMIR,2025-12-04,0
3,Coordenação-Geral de Comunicação,300581,CGCOM,2025-12-04,0
3,"Coordenação-Geral de Planejamento, Gestão Estratégica e Governança",418310,CGPLAN,2025-12-04,2
4,Coordenação-Geral de Administração e Logística,300643,COGAD,2025-12-04,6
5,Coordenação de Gestão de Pessoas,300645,COGEP,2025-12-04,3
6,Divisão de Desenvolvimento de Pessoas,300647,DIDEP,2025-12-04,0
6,Divisão de Gestão das Informações Funcionais e Pagamento,300646,DIFUP,2025-12-04,0
6,Serviço de Atenção à Saúde e à Qualidade de Vida no Trabalho,320904,SESAT,2025-12-04,0
5,Coordenação de Licitações e Contratos,300655,COLIC,2025-12-04,2
6,Divisão de Contratos e Congêneres,374929,DICON,2025-12-04,0
6,Divisão de Planejamento e Gerenciamento de Contratações,300656,DIGEC-AN,2025-12-04,0
5,Coordenação de Protocolo e Arquivo,375029,COPAR,2025-12-04,0
5,Coordenação de Recursos Orçamentários e Financeiros,300649,COROF,2025-12-04,1
6,Divisão de Planejamento e Execução Orçamentária,300650,DIPEO,2025-12-04,0
5,Divisão de Arquitetura e Engenharia,300654,DIENG,2025-12-04,0
5,"Divisão de Serviços Gerais, Patrimônio e Almoxarifado",300653,DISPA,2025-12-04,0
4,Coordenação-Geral de Tecnologia da Informação,56461,COTIN,2025-12-04,2
5,Coordenação de Desenvolvimento de Sistemas,2450,COSIS,2025-12-04,0
5,Coordenação de Infraestrutura,7620,COINF,2025-12-04,0
3,Diretoria de Gestão de Documentos e Arquivos,316742,DGD,2025-12-04,2
4,Coordenação-Geral de Desenvolvimento e Análise de Instrumentos de Gestão de Documentos e Arquivos,300586,CODAG,2025-12-04,2
5,Coordenação de Análise de Instrumentos de Gestão de Documentos,300587,CODAI,2025-12-04,0
5,Divisão de Memória da Administração Pública Brasileira,300582,DMAPA,2025-12-04,0
4,Coordenação-Geral de Gestão de Documentos,300583,COGED,2025-12-04,2
5,Coordenação de Normatização e Orientação Técnica,300584,CONOR,2025-12-04,0
5,Divisão de Capacitação,300585,DICAP,2025-12-04,0
3,"Diretoria de Processamento Técnico, Preservação e Acesso ao Acervo",316741,DPT,2025-12-04,2
4,Coordenação-Geral de Acesso e Difusão,300600,COACE,2025-12-04,3
5,Coordenação de Consultas ao Acervo,300601,COCAC,2025-12-04,3
6,Divisão da Biblioteca,374489,DIBIB,2025-12-04,0
6,Divisão de Atendimento Presencial,300602,DIAP,2025-12-04,0
6,Divisão de Atendimento à Distância,374470,DIAD,2025-12-04,0
5,Coordenação de Pesquisa e Difusão do Acervo,300634,COPED,2025-12-04,4
6,Divisão de Educação em Arquivos,374549,DICEA,2025-12-04,0
6,Divisão de Pesquisa para Difusão,300635,DPESQ,2025-12-04,0
6,Divisão de Produção Cultural,374529,DIPROC,2025-12-04,0
6,Divisão de Produção e Logística Editorial,374509,DEDIT,2025-12-04,0
5,Serviço de Estudos sobre Pessoas Usuárias e Acessibilidade em Arquivos,374630,SEU,2025-12-04,0
4,Coordenação-Geral de Processamento Técnico e Preservação do Acervo,300589,COPRA,2025-12-04,5
5,"Coordenação de Documentos Audiovisuais, Cartográficos, Iconográficos e Sonoros",300593,CODAC,2025-12-04,4
6,Divisão de Processamento Técnico de Documentos Audiovisuais e Sonoros,300594,DIDAS,2025-12-04,0
6,Divisão de Processamento Técnico de Documentos Cartográficos,320910,DICAR,2025-12-04,0
6,Divisão de Processamento Técnico de Documentos Iconográficos,300595,DIDIC,2025-12-04,0
